X,Middlesex,Hampden,Suffolk,Essex,Norfolk,Worcester,Plymouth,Bristol,Barnstable,Dukes,Berkshire,Hampshire,Franklin,Nantucket,Dukes_And_Nantucket
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,44,NA,19,1,23,1,NA,NA,NA,NA,7,NA,NA,NA,NA
2020-03-12,49,NA,22,2,24,1,NA,NA,NA,NA,9,NA,NA,NA,NA
2020-03-13,60,NA,26,2,24,2,NA,NA,NA,NA,9,NA,NA,NA,NA
2020-03-14,65,NA,27,5,28,2,NA,1,1,NA,9,NA,NA,NA,NA
2020-03-15,75,1,31,6,31,6,1,1,1,NA,9,NA,NA,NA,NA
2020-03-16,83,1,36,8,36,6,3,2,1,NA,11,NA,NA,NA,NA
2020-03-17,89,1,42,8,43,8,5,5,2,NA,14,NA,NA,NA,NA
2020-03-18,100,2,51,14,45,10,5,5,2,NA,17,NA,1,NA,NA
2020-03-19,119,3,72,19,52,14,5,6,5,NA,18,1,1,NA,NA
2020-03-20,144,3,86,29,64,19,11,6,9,NA,20,2,1,NA,NA
2020-03-21,177,9,108,41,69,24,20,14,11,NA,21,2,2,NA,1
2020-03-22,199,12,126,60,75,37,25,24,24,NA,23,4,2,NA,1
2020-03-23,232,15,154,73,82,42,32,25,30,NA,26,6,2,NA,1
2020-03-24,304,24,234,118,129,73,64,31,40,NA,37,8,5,NA,2
2020-03-25,446,45,342,177,222,129,101,67,51,NA,71,11,14,NA,3
2020-03-26,538,55,448,247,292,166,138,90,67,NA,73,17,16,NA,3
2020-03-27,685,90,631,350,393,219,187,129,100,NA,105,20,24,NA,4
2020-03-28,842,183,843,472,490,291,272,179,133,NA,119,30,39,NA,8
2020-03-29,981,201,940,570,548,337,325,208,148,NA,151,37,41,NA,8
2020-03-30,1141,255,1115,653,628,390,380,263,173,NA,162,46,49,NA,8
2020-03-31,1340,354,1373,784,738,433,459,306,191,NA,171,69,61,NA,8
2020-04-01,1582,475,1624,885,829,563,561,366,255,NA,183,81,72,NA,11
2020-04-02,1870,546,1896,1039,938,667,621,424,283,NA,213,102,85,NA,12
2020-04-03,2202,661,2183,1238,1045,825,745,517,314,NA,240,114,89,NA,16
2020-04-04,2468,733,2429,1400,1199,915,898,601,330,NA,253,125,95,NA,16
2020-04-05,2632,768,2658,1506,1271,978,963,659,347,NA,258,128,100,NA,17
2020-04-06,2950,889,2929,1653,1382,1077,1067,722,383,NA,268,147,107,NA,17
2020-04-07,3187,997,3245,1841,1592,1172,1194,768,405,NA,278,158,118,NA,17
2020-04-08,3545,1081,3600,2103,1778,1296,1327,835,423,NA,281,164,117,NA,17
2020-04-09,4045,1276,4041,2336,2007,1461,1507,994,444,NA,304,177,128,NA,18
2020-04-10,4447,1394,4534,2670,2216,1678,1677,1086,464,NA,329,194,135,NA,20
2020-04-11,4872,1545,4926,2896,2395,1822,1809,1191,480,NA,336,204,138,NA,20
2020-04-12,5660,1647,5359,3170,2649,2032,2024,1327,501,NA,350,219,143,NA,20
2020-04-13,5983,1694,5579,3413,2838,2128,2141,1394,502,NA,355,224,148,NA,20
2020-04-14,6254,1798,5872,3594,2969,2246,2207,1435,514,NA,360,233,155,NA,20
2020-04-15,6681,1885,6279,3894,3122,2350,2308,1508,530,NA,370,239,160,NA,20
2020-04-16,7206,1985,6820,4245,3342,2503,2466,1605,550,NA,382,248,170,NA,21
2020-04-17,,,,,,,,,,,,,,,
